DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3160020;1;1;1; ; ; ; ;03;147,982560691672
3160020;1;2;2;6; ; ; ;03;147,982560691672
3160021;1;1;1; ; ; ; ;03;168,450677607546
3160021;1;2;1; ; ; ; ;03;168,450677607546
3160021;1;3;1; ; ; ; ;03;168,450677607546
3160022;1;1;1; ; ; ; ;03;138,008632366073
3160022;1;2;1; ; ; ; ;03;138,008632366073
3160024;1;1;1; ; ; ; ;03;160,772626150309
3160025;1;1;1; ; ; ; ;03;179,849304140183
3160025;1;2;1; ; ; ; ;03;179,849304140183
3160025;1;3;2;2;2;20;1;03;179,849304140183
3160026;1;1;1; ; ; ; ;03;180,045781302118
3160026;1;2;1; ; ; ; ;03;180,045781302118
3160026;1;3;1; ; ; ; ;03;180,045781302118
3160026;1;4;1; ; ; ; ;03;180,045781302118
3160027;1;1;2;5;2;44;1;03;250,721018920736
3160027;1;2;1; ; ; ; ;03;250,721018920736
3160027;1;3;2;5;2;44;1;03;250,721018920736
3160029;1;1;2;6; ; ; ;03;153,240120983208
3160029;1;2;2;6; ; ; ;03;153,240120983208
3160030;1;1;2;6; ; ; ;03;183,203941887229
3160030;1;2;1; ; ; ; ;03;183,203941887229
3160030;1;3;1; ; ; ; ;03;183,203941887229
3160030;1;4;1; ; ; ; ;03;183,203941887229
3160030;1;5;2;6; ; ; ;03;183,203941887229
3160030;1;6;1; ; ; ; ;03;183,203941887229
3160030;1;7;1; ; ; ; ;03;183,203941887229
3160031;1;1;2;6; ; ; ;03;119,273977828271
3160031;1;2;1; ; ; ; ;03;119,273977828271
3160031;1;3;1; ; ; ; ;03;119,273977828271
3160031;1;4;1; ; ; ; ;03;119,273977828271
3160032;1;1;2;6; ; ; ;03;206,458487297158
3160032;1;2;2;6; ; ; ;03;206,458487297158
3160032;2;1;2;3;2;86;2;03;206,458487297158
3160032;2;2;2;1;2;05;1;03;206,458487297158
3160033;1;1;2;6; ; ; ;03;174,591743848647
3160033;1;2;2;6; ; ; ;03;174,591743848647
3160033;1;3;1; ; ; ; ;03;174,591743848647
3160034;1;1;1; ; ; ; ;03;159,347927943271
