DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3117946;1;1;2;6; ; ; ;01;147,428341196189
3117946;1;2;2;6; ; ; ;01;147,428341196189
3117946;1;3;2;6; ; ; ;01;147,428341196189
3117946;1;4;2;6; ; ; ;01;147,428341196189
3117947;1;1;1; ; ; ; ;01;223,360437669928
3117947;1;2;1; ; ; ; ;01;223,360437669928
3117947;1;3;1; ; ; ; ;01;223,360437669928
3117947;1;4;1; ; ; ; ;01;223,360437669928
3117947;1;5;1; ; ; ; ;01;223,360437669928
3117947;1;6;2;6; ; ; ;01;223,360437669928
3117948;1;1;2;6; ; ; ;01;218,200427435581
3117948;1;2;2;1;2;17;1;01;218,200427435581
3117950;1;1;2;6; ; ; ;01;247,787473924792
3117951;1;1;1; ; ; ; ;01;932,052015473202
3117951;1;2;1; ; ; ; ;01;932,052015473202
3117952;1;1;1; ; ; ; ;01;978,25788652046
3117952;1;2;1; ; ; ; ;01;978,25788652046
3117952;1;3;2;3;2;11;1;01;978,25788652046
3117952;1;5;1; ; ; ; ;01;978,25788652046
3117953;1;1;1; ; ; ; ;01;966,210214627193
3117953;1;2;1; ; ; ; ;01;966,210214627193
3117953;1;3;2;6; ; ; ;01;966,210214627193
3117954;1;1;2;1;2;50;1;01;241,585740593385
3117956;1;1;2;5;2;76;1;01;291,158055124196
3117956;1;2;1; ; ; ; ;01;291,158055124196
3117957;1;1;2;6; ; ; ;01;241,585740593385
3117958;1;1;2;6; ; ; ;01;196,042252736241
3117958;1;2;2;3;2;11;1;01;196,042252736241
3117958;1;3;2;6; ; ; ;01;196,042252736241
3117958;1;4;1; ; ; ; ;01;196,042252736241
3117958;1;5;1; ; ; ; ;01;196,042252736241
3117960;1;1;2;6; ; ; ;01;1014,00371852692
3117961;1;1;2;6; ; ; ;01;811,587435033867
3117961;1;2;1; ; ; ; ;01;811,587435033867
3117961;1;3;1; ; ; ; ;01;811,587435033867
3117961;1;4;1; ; ; ; ;01;811,587435033867
3117962;1;1;2;6; ; ; ;01;918,221311272547
3117962;1;2;1; ; ; ; ;01;918,221311272547
3117962;1;3;1; ; ; ; ;01;918,221311272547
3117962;1;4;2;6; ; ; ;01;918,221311272547
3117963;1;1;1; ; ; ; ;01;747,427337484071
3117963;1;2;2;6; ; ; ;01;747,427337484071
3117963;1;3;2;6; ; ; ;01;747,427337484071
3117963;1;4;2;6; ; ; ;01;747,427337484071
3117963;1;5;2;6; ; ; ;01;747,427337484071
3117963;1;6;2;6; ; ; ;01;747,427337484071
3117964;1;1;1; ; ; ; ;01;270,501789581319
3117966;1;1;2;6; ; ; ;01;250,689375356956
3117966;1;2;2;6; ; ; ;01;250,689375356956
3117966;1;3;1; ; ; ; ;01;250,689375356956
3117967;1;1;2;6; ; ; ;01;225,005767882059
3117968;1;1;2;6; ; ; ;01;775,108343011596
3117968;1;2;1; ; ; ; ;01;775,108343011596
3117968;1;3;1; ; ; ; ;01;775,108343011596
3117968;1;4;1; ; ; ; ;01;775,108343011596
3117968;1;5;1; ; ; ; ;01;775,108343011596
3117969;1;1;2;6; ; ; ;01;985,341680854989
3117969;1;2;2;6; ; ; ;01;985,341680854989
3117970;1;1;2;6; ; ; ;01;270,501789581319
3117972;1;1;2;6; ; ; ;01;161,390948774158
3117972;1;2;1; ; ; ; ;01;161,390948774158
3117972;1;3;1; ; ; ; ;01;161,390948774158
3117972;1;4;1; ; ; ; ;01;161,390948774158
3117973;1;1;2;6; ; ; ;01;231,030951629908
3117973;1;2;1; ; ; ; ;01;231,030951629908
3117973;1;3;2;6; ; ; ;01;231,030951629908
3117973;1;4;1; ; ; ; ;01;231,030951629908
3117974;1;1;1; ; ; ; ;01;241,585740593385
3117975;1;1;2;6; ; ; ;01;328,394293378399
3117975;1;2;1; ; ; ; ;01;328,394293378399
3117975;1;3;1; ; ; ; ;01;328,394293378399
3117975;1;5;2;6; ; ; ;01;328,394293378399
3117976;1;1;2;6; ; ; ;01;234,780400146907
3117976;1;2;2;6; ; ; ;01;234,780400146907
3117978;1;1;1; ; ; ; ;01;216,197778063543
3117978;1;2;1; ; ; ; ;01;216,197778063543
3117978;1;3;1; ; ; ; ;01;216,197778063543
3117978;1;4;1; ; ; ; ;01;216,197778063543
3117978;1;5;1; ; ; ; ;01;216,197778063543
3117979;1;1;2;6; ; ; ;01;85,5731801762508
3117979;1;2;1; ; ; ; ;01;85,5731801762508
3117980;1;1;1; ; ; ; ;01;120,998608214863
3117980;1;2;2;6; ; ; ;01;120,998608214863
3117980;1;3;1; ; ; ; ;01;120,998608214863
3117981;1;1;1; ; ; ; ;01;75,6696720470197
3117982;1;1;2;6; ; ; ;01;46,4134304207133
3117982;1;2;1; ; ; ; ;01;46,4134304207133
3117982;1;3;1; ; ; ; ;01;46,4134304207133
3117982;1;4;1; ; ; ; ;01;46,4134304207133
3117982;2;1;1; ; ; ; ;01;46,4134304207133
3117982;2;2;1; ; ; ; ;01;46,4134304207133
3117982;2;3;1; ; ; ; ;01;46,4134304207133
3117983;1;1;1; ; ; ; ;01;109,956507672805
3117983;1;2;2;3;2;15;2;01;109,956507672805
3117984;1;1;2;2;2;15;1;01;78,8910917191455
3117984;1;2;2;3;2;15;1;01;78,8910917191455
3117985;1;1;2;6; ; ; ;01;122,581898880686
3117985;1;2;1; ; ; ; ;01;122,581898880686
3117985;1;3;1; ; ; ; ;01;122,581898880686
3117985;1;4;1; ; ; ; ;01;122,581898880686
3117985;1;5;1; ; ; ; ;01;122,581898880686
3117986;1;1;1; ; ; ; ;01;127,311303818803
3117986;1;2;1; ; ; ; ;01;127,311303818803
3117986;1;3;1; ; ; ; ;01;127,311303818803
3117987;1;1;1; ; ; ; ;01;120,625091923234
3117987;1;2;1; ; ; ; ;01;120,625091923234
3117987;1;3;1; ; ; ; ;01;120,625091923234
3117987;1;4;1; ; ; ; ;01;120,625091923234
3117987;1;5;1; ; ; ; ;01;120,625091923234
3117987;1;6;1; ; ; ; ;01;120,625091923234
3117988;1;1;2;6; ; ; ;01;107,371585156331
3117988;1;2;1; ; ; ; ;01;107,371585156331
3117988;1;3;2;2;2;68;1;01;107,371585156331
3117989;1;1;1; ; ; ; ;01;93,459234558614
3117989;1;2;2;6; ; ; ;01;93,459234558614
3117990;1;1;1; ; ; ; ;01;87,3901678599046
3117990;1;2;1; ; ; ; ;01;87,3901678599046
3117991;1;1;2;6; ; ; ;01;109,956507672805
3117991;1;2;2;6; ; ; ;01;109,956507672805
3117992;1;1;2;6; ; ; ;01;2309,37828045488
3117992;1;2;2;6; ; ; ;01;2309,37828045488
3117992;1;3;2;6; ; ; ;01;2309,37828045488
3117993;1;1;2;6; ; ; ;01;51,6022749754535
3117993;1;2;2;6; ; ; ;01;51,6022749754535
3117993;1;3;2;6; ; ; ;01;51,6022749754535
3117994;1;1;1; ; ; ; ;01;78,485074415556
3117995;1;1;2;6; ; ; ;01;228,44703006752
3117995;1;2;2;6; ; ; ;01;228,44703006752
3117995;1;3;1; ; ; ; ;01;228,44703006752
3117995;1;4;2;6; ; ; ;01;228,44703006752
3117996;1;1;2;6; ; ; ;01;76,4123945759441
3117996;1;2;2;6; ; ; ;01;76,4123945759441
3117997;1;1;1; ; ; ; ;01;72,649905659288
3117997;1;2;1; ; ; ; ;01;72,649905659288
3117997;1;3;1; ; ; ; ;01;72,649905659288
3117998;1;1;2;6; ; ; ;01;97,0785651436518
3117998;1;2;1; ; ; ; ;01;97,0785651436518
3117998;1;3;1; ; ; ; ;01;97,0785651436518
3117998;1;4;1; ; ; ; ;01;97,0785651436518
3117999;1;1;2;6; ; ; ;01;78,485074415556
3118000;1;1;2;1;2;76;1;01;1800,1812969976
3118000;1;2;2;1;2;76;1;01;1800,1812969976
3118000;1;3;2;1;2;41;1;01;1800,1812969976
3118001;1;1;2;6; ; ; ;01;966,014815172277
3118001;1;2;1; ; ; ; ;01;966,014815172277
3118002;1;1;1; ; ; ; ;01;136,218737802618
3118002;1;2;1; ; ; ; ;01;136,218737802618
3118003;1;1;1; ; ; ; ;01;127,145225349952
3118003;1;2;1; ; ; ; ;01;127,145225349952
3118004;1;1;2;6; ; ; ;01;184,725665739393
3118004;1;2;1; ; ; ; ;01;184,725665739393
3118004;1;3;1; ; ; ; ;01;184,725665739393
3118004;1;4;1; ; ; ; ;01;184,725665739393
3118005;1;1;2;6; ; ; ;01;177,076167371861
3118005;1;2;2;6; ; ; ;01;177,076167371861
3118005;1;3;1; ; ; ; ;01;177,076167371861
3118005;1;4;1; ; ; ; ;01;177,076167371861
3118005;1;5;1; ; ; ; ;01;177,076167371861
3118006;1;1;1; ; ; ; ;01;107,734045945674
3118007;1;1;1; ; ; ; ;01;107,734045945674
3118008;1;1;2;5;2;63;1;01;197,726123113319
3118008;1;2;2;5;2;63;1;01;197,726123113319
3118008;1;3;2;5;2;63;1;01;197,726123113319
3118008;1;4;2;5;2;63;1;01;197,726123113319
3118009;1;1;2;6; ; ; ;01;121,257076383113
3118010;1;1;2;6; ; ; ;01;160,15280323846
3118010;1;2;1; ; ; ; ;01;160,15280323846
3118010;1;3;1; ; ; ; ;01;160,15280323846
3118010;1;4;2;1;2;54;1;01;160,15280323846
3118011;1;1;1; ; ; ; ;01;121,257076383113
3118012;1;1;1; ; ; ; ;01;147,994939049269
3118012;1;2;2;6; ; ; ;01;147,994939049269
3118012;1;3;1; ; ; ; ;01;147,994939049269
3118013;1;1;2;6; ; ; ;01;182,970215084441
3118013;1;2;1; ; ; ; ;01;182,970215084441
3118013;1;3;1; ; ; ; ;01;182,970215084441
3118014;1;1;2;1;2;11;1;01;170,06301013012
3118014;1;2;2;1;2;11;1;01;170,06301013012
3118014;1;3;2;3;2;11;1;01;170,06301013012
3118014;1;4;1; ; ; ; ;01;170,06301013012
3118014;1;5;1; ; ; ; ;01;170,06301013012
3118014;1;6;2;6; ; ; ;01;170,06301013012
3118015;1;1;1; ; ; ; ;01;143,788872690589
3118015;1;2;1; ; ; ; ;01;143,788872690589
3118015;1;3;1; ; ; ; ;01;143,788872690589
3118016;1;1;2;6; ; ; ;01;107,058146000464
3118016;1;2;2;6; ; ; ;01;107,058146000464
3118016;1;3;1; ; ; ; ;01;107,058146000464
3118017;1;1;2;6; ; ; ;01;214,369770453955
3118017;1;2;2;6; ; ; ;01;214,369770453955
3118017;1;3;2;6; ; ; ;01;214,369770453955
3118017;1;4;1; ; ; ; ;01;214,369770453955
3118017;1;5;1; ; ; ; ;01;214,369770453955
3118018;1;1;1; ; ; ; ;01;197,726123113319
3118018;1;2;2;6; ; ; ;01;197,726123113319
3118018;1;3;1; ; ; ; ;01;197,726123113319
3118018;1;4;1; ; ; ; ;01;197,726123113319
3118019;1;1;1; ; ; ; ;01;104,290613936823
3118019;1;2;1; ; ; ; ;01;104,290613936823
3118019;1;3;2;1;2;52;2;01;104,290613936823
3118020;1;1;1; ; ; ; ;01;184,725665739393
3118020;1;2;1; ; ; ; ;01;184,725665739393
3118020;1;3;1; ; ; ; ;01;184,725665739393
3118020;1;4;1; ; ; ; ;01;184,725665739393
3118021;1;1;2;1;2;63;2;01;196,493342208909
3118021;1;2;2;4;2;63;2;01;196,493342208909
3118021;1;3;2;3;2;63;2;01;196,493342208909
3118022;1;1;1; ; ; ; ;01;84,2769993211553
3118022;1;2;1; ; ; ; ;01;84,2769993211553
3118022;1;3;1; ; ; ; ;01;84,2769993211553
3118022;1;4;1; ; ; ; ;01;84,2769993211553
3118022;1;5;1; ; ; ; ;01;84,2769993211553
3118023;1;1;2;3;2;08;1;01;107,058146000464
3118023;1;2;2;3;2;08;1;01;107,058146000464
3118023;1;3;2;3;2;08;1;01;107,058146000464
3118024;1;1;1; ; ; ; ;01;111,416288701736
3118024;1;2;1; ; ; ; ;01;111,416288701736
3118024;1;4;1; ; ; ; ;01;111,416288701736
3118024;1;5;1; ; ; ; ;01;111,416288701736
3118024;1;6;1; ; ; ; ;01;111,416288701736
3118025;1;1;1; ; ; ; ;01;116,13165845313
3118025;1;2;1; ; ; ; ;01;116,13165845313
3118025;1;3;1; ; ; ; ;01;116,13165845313
3118026;1;1;2;6; ; ; ;01;184,725665739393
3118026;1;2;2;6; ; ; ;01;184,725665739393
3118026;1;3;2;6; ; ; ;01;184,725665739393
3118026;1;4;1; ; ; ; ;01;184,725665739393
3118027;1;1;1; ; ; ; ;01;160,189068405132
3118027;1;2;1; ; ; ; ;01;160,189068405132
3118027;1;3;2;6; ; ; ;01;160,189068405132
3118027;1;5;1; ; ; ; ;01;160,189068405132
3118028;1;1;1; ; ; ; ;01;224,053840913857
